,bin_size
bin.lorbin_000305.fa,12
bin.lorbin_000306.fa,58
bin.lorbin_000307.fa,28
bin.lorbin_000308.fa,39
bin.lorbin_000309.fa,80
bin.lorbin_000310.fa,4
bin.lorbin_000311.fa,46
bin.lorbin_000312.fa,129
bin.lorbin_000313.fa,52
bin.lorbin_000314.fa,11
bin.lorbin_000315.fa,7
bin.lorbin_000316.fa,62
bin.lorbin_000317.fa,1
bin.lorbin_000318.fa,19
bin.lorbin_000319.fa,50
bin.lorbin_000320.fa,18
bin.lorbin_000321.fa,62
bin.lorbin_000322.fa,16
bin.lorbin_000323.fa,199
bin.lorbin_000324.fa,23
bin.lorbin_000325.fa,31
bin.lorbin_000326.fa,5
bin.lorbin_000327.fa,10
bin.lorbin_000328.fa,52
bin.lorbin_000329.fa,73
bin.lorbin_000330.fa,5
bin.lorbin_000331.fa,28
bin.lorbin_000332.fa,72
bin.lorbin_000333.fa,69
bin.lorbin_000334.fa,27
bin.lorbin_000335.fa,51
bin.lorbin_000336.fa,9
bin.lorbin_000337.fa,2
bin.lorbin_000338.fa,7
bin.lorbin_000339.fa,37
bin.lorbin_000340.fa,64
bin.lorbin_000341.fa,44
bin.lorbin_000342.fa,1
bin.lorbin_000343.fa,47
bin.lorbin_000344.fa,17
bin.lorbin_000345.fa,123
bin.lorbin_000346.fa,1
bin.lorbin_000347.fa,1
bin.lorbin_000348.fa,1
bin.lorbin_000349.fa,1
bin.lorbin_000350.fa,36
bin.lorbin_000351.fa,82
bin.lorbin_000352.fa,15
bin.lorbin_000353.fa,16
bin.lorbin_000354.fa,46
bin.lorbin_000355.fa,33
bin.lorbin_000356.fa,16
bin.lorbin_000357.fa,21
bin.lorbin_000358.fa,21
bin.lorbin_000359.fa,4
bin.lorbin_000360.fa,57
bin.lorbin_000361.fa,38
bin.lorbin_000362.fa,18
bin.lorbin_000363.fa,1
bin.lorbin_000364.fa,5
bin.lorbin_000365.fa,31
bin.lorbin_000366.fa,2
bin.lorbin_000367.fa,29
bin.lorbin_000368.fa,83
bin.lorbin_000369.fa,12
bin.lorbin_000370.fa,46
bin.lorbin_000371.fa,10
bin.lorbin_000372.fa,56
bin.lorbin_000373.fa,35
bin.lorbin_000374.fa,95
bin.lorbin_000375.fa,1
bin.lorbin_000376.fa,1
bin.lorbin_000377.fa,45
bin.lorbin_000378.fa,59
bin.lorbin_000379.fa,1
bin.lorbin_000380.fa,1
bin.lorbin_000381.fa,3
bin.lorbin_000382.fa,5
bin.lorbin_000383.fa,10
bin.lorbin_000384.fa,5
bin.lorbin_000385.fa,1
bin.lorbin_000386.fa,47
bin.lorbin_000387.fa,217
bin.lorbin_000388.fa,3
bin.lorbin_000389.fa,15
bin.lorbin_000390.fa,1
bin.lorbin_000391.fa,2
