,bin_size
bin.semibin_000446.fa,75
bin.semibin_000447.fa,30
bin.semibin_000448.fa,19
bin.semibin_000449.fa,25
bin.semibin_000450.fa,69
bin.semibin_000451.fa,112
bin.semibin_000452.fa,28
bin.semibin_000453.fa,6
bin.semibin_000454.fa,16
bin.semibin_000455.fa,1
bin.semibin_000456.fa,72
bin.semibin_000457.fa,67
bin.semibin_000458.fa,53
bin.semibin_000459.fa,5
bin.semibin_000460.fa,3
bin.semibin_000461.fa,144
bin.semibin_000462.fa,106
bin.semibin_000463.fa,1
bin.semibin_000464.fa,6
bin.semibin_000465.fa,21
bin.semibin_000466.fa,4
bin.semibin_000467.fa,5
bin.semibin_000468.fa,50
bin.semibin_000469.fa,162
bin.semibin_000470.fa,81
bin.semibin_000471.fa,64
bin.semibin_000472.fa,14
bin.semibin_000473.fa,54
bin.semibin_000474.fa,19
bin.semibin_000475.fa,17
bin.semibin_000476.fa,13
bin.semibin_000477.fa,7
bin.semibin_000478.fa,2
bin.semibin_000479.fa,68
bin.semibin_000480.fa,14
bin.semibin_000481.fa,16
bin.semibin_000482.fa,35
bin.semibin_000483.fa,37
bin.semibin_000484.fa,4
bin.semibin_000485.fa,10
bin.semibin_000486.fa,71
bin.semibin_000487.fa,76
bin.semibin_000488.fa,75
bin.semibin_000489.fa,9
bin.semibin_000490.fa,66
bin.semibin_000491.fa,1
bin.semibin_000492.fa,95
bin.semibin_000493.fa,59
bin.semibin_000494.fa,76
bin.semibin_000495.fa,62
bin.semibin_000496.fa,74
bin.semibin_000497.fa,75
bin.semibin_000498.fa,120
bin.semibin_000499.fa,65
bin.semibin_000500.fa,4
bin.semibin_000501.fa,7
bin.semibin_000502.fa,5
bin.semibin_000503.fa,20
bin.semibin_000504.fa,80
bin.semibin_000505.fa,69
bin.semibin_000506.fa,87
bin.semibin_000507.fa,4
bin.semibin_000508.fa,8
bin.semibin_000509.fa,62
bin.semibin_000510.fa,8
bin.semibin_000511.fa,48
bin.semibin_000512.fa,52
bin.semibin_000513.fa,85
bin.semibin_000514.fa,14
bin.semibin_000515.fa,17
bin.semibin_000516.fa,2
bin.semibin_000517.fa,60
bin.semibin_000518.fa,4
bin.semibin_000519.fa,2
bin.semibin_000520.fa,7
bin.semibin_000521.fa,54
bin.semibin_000522.fa,8
bin.semibin_000523.fa,16
bin.semibin_000524.fa,4
bin.semibin_000525.fa,57
bin.semibin_000526.fa,43
bin.semibin_000527.fa,84
bin.semibin_000528.fa,71
bin.semibin_000529.fa,61
bin.semibin_000530.fa,20
bin.semibin_000531.fa,57
bin.semibin_000532.fa,232
bin.semibin_000533.fa,78
bin.semibin_000534.fa,174
bin.semibin_000535.fa,29
bin.semibin_000536.fa,7
bin.semibin_000537.fa,58
bin.semibin_000538.fa,33
bin.semibin_000539.fa,57
bin.semibin_000540.fa,49
bin.semibin_000541.fa,17
bin.semibin_000542.fa,41
bin.semibin_000543.fa,1
bin.semibin_000049.fa,51
bin.semibin_000051.fa,158
bin.semibin_000053.fa,28
bin.semibin_000055.fa,63
bin.semibin_000057.fa,11
bin.semibin_000059.fa,67
bin.semibin_000061.fa,12
bin.semibin_000063.fa,40
bin.semibin_000065.fa,53
bin.semibin_000001.fa,33
bin.semibin_000002.fa,49
bin.semibin_000003.fa,169
bin.semibin_000004.fa,41
bin.semibin_000005.fa,68
bin.semibin_000006.fa,21
bin.semibin_000007.fa,35
bin.semibin_000008.fa,60
bin.semibin_000009.fa,90
bin.semibin_000010.fa,64
bin.semibin_000011.fa,112
bin.semibin_000012.fa,9
bin.semibin_000013.fa,184
bin.semibin_000014.fa,76
bin.semibin_000015.fa,73
bin.semibin_000016.fa,20
bin.semibin_000017.fa,70
bin.semibin_000018.fa,10
bin.semibin_000019.fa,88
bin.semibin_000020.fa,70
bin.semibin_000021.fa,4
bin.semibin_000022.fa,14
bin.semibin_000023.fa,13
bin.semibin_000024.fa,63
bin.semibin_000025.fa,1
bin.semibin_000026.fa,20
bin.semibin_000027.fa,99
bin.semibin_000028.fa,36
bin.semibin_000029.fa,3
bin.semibin_000030.fa,58
bin.semibin_000031.fa,15
bin.semibin_000032.fa,11
bin.semibin_000033.fa,33
bin.semibin_000034.fa,179
bin.semibin_000035.fa,57
bin.semibin_000036.fa,9
bin.semibin_000037.fa,47
bin.semibin_000038.fa,76
bin.semibin_000039.fa,41
bin.semibin_000040.fa,64
bin.semibin_000041.fa,61
bin.semibin_000042.fa,8
bin.semibin_000043.fa,4
bin.semibin_000044.fa,13
bin.semibin_000045.fa,45
bin.semibin_000046.fa,61
bin.semibin_000047.fa,3
bin.semibin_000048.fa,48
bin.semibin_000050.fa,52
bin.semibin_000052.fa,80
bin.semibin_000054.fa,20
bin.semibin_000056.fa,32
bin.semibin_000058.fa,13
bin.semibin_000060.fa,40
bin.semibin_000062.fa,56
bin.semibin_000064.fa,87
bin.semibin_000066.fa,61
