,bin_size
bin.aamb_000078.fa,4
bin.aamb_000080.fa,4
bin.aamb_000103.fa,4
bin.aamb_000147.fa,4
bin.aamb_000158.fa,4
bin.aamb_000186.fa,4
bin.aamb_000224.fa,4
bin.aamb_000268.fa,4
bin.aamb_000286.fa,4
bin.aamb_000287.fa,4
bin.aamb_000288.fa,4
bin.aamb_000297.fa,4
bin.aamb_000345.fa,4
bin.aamb_000323.fa,4
bin.aamb_000384.fa,4
bin.aamb_000009.fa,3
bin.aamb_000042.fa,3
bin.aamb_000054.fa,3
bin.aamb_000096.fa,3
bin.aamb_000171.fa,3
bin.aamb_000179.fa,3
bin.aamb_000222.fa,3
bin.aamb_000230.fa,3
bin.aamb_000235.fa,3
bin.aamb_000259.fa,3
bin.aamb_000272.fa,3
bin.aamb_000305.fa,3
bin.aamb_000317.fa,3
bin.aamb_000034.fa,2
bin.aamb_000084.fa,2
bin.aamb_000087.fa,2
bin.aamb_000102.fa,2
bin.aamb_000123.fa,2
bin.aamb_000124.fa,2
bin.aamb_000157.fa,2
bin.aamb_000223.fa,2
bin.aamb_000263.fa,2
bin.aamb_000264.fa,2
bin.aamb_000391.fa,2
bin.aamb_000048.fa,1
bin.aamb_000050.fa,1
bin.aamb_000066.fa,1
bin.aamb_000126.fa,1
bin.aamb_000128.fa,1
bin.aamb_000152.fa,1
bin.aamb_000164.fa,1
bin.aamb_000243.fa,1
bin.aamb_000260.fa,1
bin.aamb_000265.fa,1
bin.aamb_000266.fa,1
bin.aamb_000276.fa,1
bin.aamb_000278.fa,1
bin.aamb_000289.fa,1
bin.aamb_000383.fa,1
