,bin_size
bin.semibin2_000345.fa,22
bin.semibin2_000346.fa,56
bin.semibin2_000347.fa,17
bin.semibin2_000348.fa,1
bin.semibin2_000349.fa,7
bin.semibin2_000350.fa,36
bin.semibin2_000351.fa,60
bin.semibin2_000352.fa,32
bin.semibin2_000353.fa,1
bin.semibin2_000354.fa,41
bin.semibin2_000355.fa,19
bin.semibin2_000356.fa,57
bin.semibin2_000357.fa,1
bin.semibin2_000358.fa,1
bin.semibin2_000359.fa,92
bin.semibin2_000360.fa,40
bin.semibin2_000361.fa,16
bin.semibin2_000362.fa,57
bin.semibin2_000363.fa,1
bin.semibin2_000364.fa,29
bin.semibin2_000365.fa,1
bin.semibin2_000366.fa,45
bin.semibin2_000367.fa,16
bin.semibin2_000368.fa,68
bin.semibin2_000369.fa,39
bin.semibin2_000370.fa,1
bin.semibin2_000371.fa,1
bin.semibin2_000372.fa,71
bin.semibin2_000373.fa,46
bin.semibin2_000374.fa,2
bin.semibin2_000375.fa,24
bin.semibin2_000376.fa,65
bin.semibin2_000377.fa,21
bin.semibin2_000378.fa,82
bin.semibin2_000379.fa,61
bin.semibin2_000380.fa,69
bin.semibin2_000381.fa,1
bin.semibin2_000382.fa,1
bin.semibin2_000383.fa,32
bin.semibin2_000384.fa,20
bin.semibin2_000385.fa,35
bin.semibin2_000386.fa,1
bin.semibin2_000387.fa,1
bin.semibin2_000388.fa,7
bin.semibin2_000389.fa,1
bin.semibin2_000390.fa,25
bin.semibin2_000391.fa,1
bin.semibin2_000392.fa,1
bin.semibin2_000393.fa,13
bin.semibin2_000394.fa,48
bin.semibin2_000395.fa,21
bin.semibin2_000396.fa,1
bin.semibin2_000397.fa,2
bin.semibin2_000398.fa,24
bin.semibin2_000399.fa,71
bin.semibin2_000400.fa,38
bin.semibin2_000401.fa,1
bin.semibin2_000402.fa,1
bin.semibin2_000403.fa,1
bin.semibin2_000404.fa,111
bin.semibin2_000405.fa,45
bin.semibin2_000406.fa,5
bin.semibin2_000407.fa,29
bin.semibin2_000408.fa,5
bin.semibin2_000409.fa,52
bin.semibin2_000410.fa,62
bin.semibin2_000411.fa,60
bin.semibin2_000412.fa,54
bin.semibin2_000413.fa,43
bin.semibin2_000414.fa,91
bin.semibin2_000415.fa,49
