,bin_size
bin.comebin_000376.fa,59
bin.comebin_000378.fa,52
bin.comebin_000380.fa,1
bin.comebin_000381.fa,61
bin.comebin_000382.fa,1
bin.comebin_000383.fa,74
bin.comebin_000385.fa,45
bin.comebin_000386.fa,4
bin.comebin_000387.fa,1
bin.comebin_000388.fa,108
bin.comebin_000390.fa,164
bin.comebin_000391.fa,27
bin.comebin_000392.fa,1
bin.comebin_000393.fa,1
bin.comebin_000395.fa,1
bin.comebin_000396.fa,20
bin.comebin_000397.fa,5
bin.comebin_000398.fa,1
bin.comebin_000400.fa,40
bin.comebin_000401.fa,1
bin.comebin_000402.fa,1
bin.comebin_000403.fa,62
bin.comebin_000405.fa,3
bin.comebin_000406.fa,42
bin.comebin_000407.fa,2
bin.comebin_000408.fa,1
bin.comebin_000410.fa,26
bin.comebin_000411.fa,91
bin.comebin_000412.fa,1
bin.comebin_000413.fa,1
bin.comebin_000416.fa,1
bin.comebin_000417.fa,59
bin.comebin_000418.fa,75
bin.comebin_000419.fa,3
bin.comebin_000421.fa,1
bin.comebin_000422.fa,2
bin.comebin_000423.fa,1
bin.comebin_000424.fa,122
bin.comebin_000426.fa,22
bin.comebin_000427.fa,14
bin.comebin_000428.fa,24
bin.comebin_000429.fa,14
bin.comebin_000431.fa,9
bin.comebin_000432.fa,72
bin.comebin_000433.fa,24
bin.comebin_000434.fa,89
bin.comebin_000435.fa,29
bin.comebin_000436.fa,1
bin.comebin_000437.fa,1
bin.comebin_000439.fa,28
bin.comebin_000440.fa,1
bin.comebin_000442.fa,9
bin.comebin_000443.fa,1
bin.comebin_000445.fa,1
bin.comebin_000446.fa,9
bin.comebin_000447.fa,50
bin.comebin_000448.fa,5
bin.comebin_000450.fa,1
bin.comebin_000451.fa,1
bin.comebin_000452.fa,60
bin.comebin_000453.fa,50
bin.comebin_000455.fa,51
bin.comebin_000456.fa,118
bin.comebin_000457.fa,1
bin.comebin_000458.fa,1
bin.comebin_000459.fa,1
bin.comebin_000460.fa,1
bin.comebin_000461.fa,1
bin.comebin_000463.fa,80
bin.comebin_000464.fa,76
bin.comebin_000465.fa,1
bin.comebin_000466.fa,1
bin.comebin_000001.fa,1
bin.comebin_000002.fa,1
bin.comebin_000003.fa,66
bin.comebin_000007.fa,2
bin.comebin_000012.fa,85
bin.comebin_000017.fa,1
bin.comebin_000022.fa,25
bin.comebin_000027.fa,46
bin.comebin_000032.fa,50
bin.comebin_000037.fa,17
bin.comebin_000045.fa,1
bin.comebin_000050.fa,1
bin.comebin_000055.fa,1
bin.comebin_000060.fa,5
bin.comebin_000065.fa,1
bin.comebin_000070.fa,56
bin.comebin_000075.fa,1
bin.comebin_000080.fa,1
bin.comebin_000085.fa,4
bin.comebin_000090.fa,42
bin.comebin_000095.fa,7
bin.comebin_000100.fa,71
bin.comebin_000105.fa,3
bin.comebin_000110.fa,2
bin.comebin_000115.fa,1
bin.comebin_000120.fa,1
bin.comebin_000123.fa,1
bin.comebin_000132.fa,1
bin.comebin_000137.fa,66
bin.comebin_000142.fa,1
bin.comebin_000147.fa,5
bin.comebin_000152.fa,53
bin.comebin_000157.fa,7
bin.comebin_000162.fa,1
bin.comebin_000167.fa,3
bin.comebin_000172.fa,1
bin.comebin_000177.fa,1
bin.comebin_000182.fa,76
bin.comebin_000187.fa,1
bin.comebin_000192.fa,1
bin.comebin_000195.fa,1
bin.comebin_000196.fa,1
bin.comebin_000197.fa,1
bin.comebin_000199.fa,1
bin.comebin_000201.fa,34
bin.comebin_000203.fa,1
bin.comebin_000204.fa,38
bin.comebin_000205.fa,32
bin.comebin_000208.fa,25
bin.comebin_000209.fa,61
bin.comebin_000210.fa,71
bin.comebin_000212.fa,1
